unique_id,name,community,qr_url,svg_file
GB0-145-58,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-58,qr_GB0-145-58.svg
GB0-145-59,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-59,qr_GB0-145-59.svg
GB0-145-60,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-60,qr_GB0-145-60.svg
GB0-148-1,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-1,qr_GB0-148-1.svg
GB0-148-2,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-2,qr_GB0-148-2.svg
GB0-148-3,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-3,qr_GB0-148-3.svg
GB0-148-4,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-4,qr_GB0-148-4.svg
GB0-148-5,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-5,qr_GB0-148-5.svg
GB0-148-6,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-6,qr_GB0-148-6.svg
GB0-148-7,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-7,qr_GB0-148-7.svg
GB0-148-8,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-8,qr_GB0-148-8.svg
GB0-148-9,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-9,qr_GB0-148-9.svg
GB0-148-10,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-10,qr_GB0-148-10.svg
GB0-148-11,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-11,qr_GB0-148-11.svg
GB0-148-12,Utopia Homelands,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-148-12,qr_GB0-148-12.svg
