unique_id,name,community,qr_url,svg_file
GB0-144-28,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-28,qr_GB0-144-28.svg
GB0-144-29,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-29,qr_GB0-144-29.svg
GB0-144-30,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-30,qr_GB0-144-30.svg
GB0-144-31,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-31,qr_GB0-144-31.svg
GB0-144-32,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-32,qr_GB0-144-32.svg
GB0-144-33,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-33,qr_GB0-144-33.svg
GB0-144-34,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-34,qr_GB0-144-34.svg
GB0-144-35,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-35,qr_GB0-144-35.svg
GB0-144-36,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-36,qr_GB0-144-36.svg
GB0-144-37,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-37,qr_GB0-144-37.svg
GB0-144-38,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-38,qr_GB0-144-38.svg
GB0-144-39,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-39,qr_GB0-144-39.svg
GB0-144-40,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-40,qr_GB0-144-40.svg
GB0-144-41,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-41,qr_GB0-144-41.svg
GB0-144-42,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-42,qr_GB0-144-42.svg
