unique_id,name,community,qr_url,svg_file
GB0-144-58,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-58,qr_GB0-144-58.svg
GB0-144-59,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-59,qr_GB0-144-59.svg
GB0-144-60,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-60,qr_GB0-144-60.svg
GB0-144-61,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-61,qr_GB0-144-61.svg
GB0-144-62,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-62,qr_GB0-144-62.svg
GB0-144-63,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-63,qr_GB0-144-63.svg
GB0-144-64,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-64,qr_GB0-144-64.svg
GB0-144-65,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-65,qr_GB0-144-65.svg
GB0-144-66,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-66,qr_GB0-144-66.svg
GB0-144-67,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-67,qr_GB0-144-67.svg
GB0-144-68,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-68,qr_GB0-144-68.svg
GB0-144-69,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-69,qr_GB0-144-69.svg
GB0-144-70,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-70,qr_GB0-144-70.svg
GB0-144-71,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-71,qr_GB0-144-71.svg
GB0-144-72,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-72,qr_GB0-144-72.svg
