unique_id,name,community,qr_url,svg_file
GB0-149-13,Maningrida,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-149-13,qr_GB0-149-13.svg
GB0-149-14,Maningrida,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-149-14,qr_GB0-149-14.svg
GB0-149-15,Maningrida,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-149-15,qr_GB0-149-15.svg
GB0-149-16,Maningrida,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-149-16,qr_GB0-149-16.svg
GB0-149-17,Maningrida,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-149-17,qr_GB0-149-17.svg
GB0-149-18,Maningrida,Maningrida,https://goodsoncountry.netlify.app/?asset_id=GB0-149-18,qr_GB0-149-18.svg
GB0-151-1,Tennant Weave Beds,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-151-1,qr_GB0-151-1.svg
GB0-151-2,Tennant Weave Beds,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-151-2,qr_GB0-151-2.svg
GB0-151-3,Tennant Weave Beds,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-151-3,qr_GB0-151-3.svg
GB0-152-1,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-1,qr_GB0-152-1.svg
GB0-152-2,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-2,qr_GB0-152-2.svg
GB0-152-3,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-3,qr_GB0-152-3.svg
GB0-152-4,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-4,qr_GB0-152-4.svg
GB0-152-5,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-5,qr_GB0-152-5.svg
GB0-152-6,,Utopia Homelands,https://goodsoncountry.netlify.app/?asset_id=GB0-152-6,qr_GB0-152-6.svg
