unique_id,name,community,qr_url,svg_file
GB0-144-88,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-88,qr_GB0-144-88.svg
GB0-144-89,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-89,qr_GB0-144-89.svg
GB0-144-90,Additional Beds Tennant,Tennant Creek,https://goodsoncountry.netlify.app/?asset_id=GB0-144-90,qr_GB0-144-90.svg
GB0-145-1,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-1,qr_GB0-145-1.svg
GB0-145-2,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-2,qr_GB0-145-2.svg
GB0-145-3,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-3,qr_GB0-145-3.svg
GB0-145-4,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-4,qr_GB0-145-4.svg
GB0-145-5,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-5,qr_GB0-145-5.svg
GB0-145-6,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-6,qr_GB0-145-6.svg
GB0-145-7,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-7,qr_GB0-145-7.svg
GB0-145-8,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-8,qr_GB0-145-8.svg
GB0-145-9,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-9,qr_GB0-145-9.svg
GB0-145-10,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-10,qr_GB0-145-10.svg
GB0-145-11,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-11,qr_GB0-145-11.svg
GB0-145-12,Additional Beds Palm,Palm Island,https://goodsoncountry.netlify.app/?asset_id=GB0-145-12,qr_GB0-145-12.svg
